Type,NSfraction,DN,RF-F/F,RTJ F/F,BW-F/F,RF/RTJ KG,BW KG,Rating,NS,TypeDesc,TypeNum
VLV5,1+1/2,40,241,254,241,18,15,300,1.25,Flanged Swing check Valve,
VLV5,2,50,267,283,267,23,18,300,2,Flanged Swing check Valve,
VLV5,2+1/2,65,292,308,292,35,28,300,2.5,Flanged Swing check Valve,
VLV5,3,80,318,334,318,46,37,300,3,Flanged Swing check Valve,
VLV5,4,100,356,372,356,64,52,300,4,Flanged Swing check Valve,
VLV5,28,700,1600,1600,,4059,3230,600,28,Flanged Swing check Valve,
VLV5,30,750,1651,1651,,4470,3570,600,30,Flanged Swing check Valve,
VLV5,32,800,,,,4819,3825,600,32,Flanged Swing check Valve,
VLV5,34,850,,,,5377,4293,600,34,Flanged Swing check Valve,
VLV5,36,900,2083,2083,,5948,4675,600,36,Flanged Swing check Valve,
VLV5,0+3/4,20,229,229,229,22,17,900,0.75,Flanged Swing check Valve,
VLV5,1,25,254,254,254,41,33,900,1,Flanged Swing check Valve,
VLV5,1+1/4,32,279,279,279,52,42,900,1.5,Flanged Swing check Valve,
VLV5,1+1/2,40,305,305,305,65,52,900,1.25,Flanged Swing check Valve,
VLV5,2,50,368,371,368,75,59,900,2,Flanged Swing check Valve,
VLV5,2+1/2,65,419,422,419,101,79,900,2.5,Flanged Swing check Valve,
VLV5,3,80,381,384,381,91,73,900,3,Flanged Swing check Valve,
VLV5,4,100,457,460,457,156,124,900,4,Flanged Swing check Valve,
VLV5,5,125,559,562,559,234,195,900,5,Flanged Swing check Valve,
VLV5,6,150,610,613,610,327,264,900,6,Flanged Swing check Valve,
VLV5,8,200,737,740,737,530,425,900,8,Flanged Swing check Valve,
VLV5,10,250,838,841,838,814,657,900,10,Flanged Swing check Valve,
VLV5,12,300,965,968,965,1135,918,900,12,Flanged Swing check Valve,
VLV5,14,350,1029,1039,1029,1558,1275,900,14,Flanged Swing check Valve,
VLV5,16,400,1130,1140,1130,2203,1811,900,16,Flanged Swing check Valve,
VLV5,18,450,1219,1232,1219,2733,2210,900,18,Flanged Swing check Valve,
VLV5,20,500,1321,1334,1321,3567,2890,900,20,Flanged Swing check Valve,
VLV5,22,550,,,,4495,,900,22,Flanged Swing check Valve,
VLV5,24,600,1549,1568,1549,4495,4000,900,24,Flanged Swing check Valve,
VLV5,0+1/2,15,216,216,216,23,18,1500,0.5,Flanged Swing check Valve,
